Supplier Name,Invoice Number,Part Number,Cost,Purchase Date
Supplier X,001-1001,2341,500,2018-01-20
Supplier X,001-1001,2341,500,2018-01-20
Supplier X,001-1001,5467,750,2018-01-20
Supplier X,001-1001,5467,750,2018-01-20
Supplier Y,50-9501,7009,250,2018-01-30
Supplier Y,50-9501,7009,250,2018-01-30
Supplier Y,50-9501,6650,125,2018-02-03
Supplier Y,50-9501,6650,125,2018-02-03
Supplier Z,920-4803,3321,615,2018-02-03
Supplier Z,920-4804,3322,615,2018-02-10
Supplier Z,920-4805,3323,615,2018-02-17
Supplier Z,920-4806,3324,615,2018-02-24
